The worst-case time for insertionSort(), in milliseconds, are
n       Time per bubbleSort     Time per In-time bubbleSort
0       5.6926e-06              5.1669e-06
10      0.000258479             0.00026205
20      0.00112963              0.00116638
30      0.00253455              0.00260127
40      0.00447157              0.0044294
50      0.00655338              0.00653467
60      0.00943797              0.00943058
70      0.0127042               0.0120462
80      0.015638                0.015303
90      0.0192146               0.0198063
100     0.0238409               0.024623
200     0.0950166               0.0936688
300     0.220611                0.219035
400     0.371429                0.386702
500     0.622665                0.696159
600     0.930233                0.906618
700     1.2837                  1.23001
800     1.73785                 1.69088
900     1.94553                 2.20751
1000    2.70667                 2.54453
