The worst-case time for selectSort(), in milliseconds, are
n       Time per bubbleSort     Time per In-time bubbleSort
0       0.000006                0.000007
10      0.000194                0.000190
20      0.000614                0.000628
30      0.001439                0.001535
40      0.002421                0.002560
50      0.003707                0.004337
60      0.005258                0.005473
70      0.007817                0.007548
80      0.009429                0.010124
90      0.011815                0.011962
100     0.014987                0.015863
200     0.055331                0.055620
300     0.109182                0.122175
400     0.188715                0.213447
500     0.305344                0.306560
600     0.411692                0.485909
700     0.565291                0.608643
800     0.807103                0.816993
900     0.949668                1.097695
1000    1.158749                1.234568
