3）运行时间
The worst-case time for Sort(), in milliseconds, are
n       In-time selectSort      In-time bubbleSort      InsertSort
0       0.00000526              0.00000510              0.00000458
10      0.00018080              0.00024176              0.00017063
20      0.00062788              0.00110402              0.00061241
30      0.00148003              0.00244774              0.00133469
40      0.00244233              0.00415765              0.00233861
50      0.00359386              0.00634067              0.00364911
60      0.00505831              0.00882955              0.00512516
70      0.00648530              0.01171575              0.00690655
80      0.00853487              0.01503658              0.00899924
90      0.01084331              0.01934650              0.01113189
100     0.01271165              0.02356973              0.01359213
200     0.04753989              0.09360389              0.05264798
300     0.10435412              0.20742585              0.11610140
400     0.18216561              0.36154950              0.20584628
500     0.27987685              0.56907334              0.32808399
600     0.40264954              0.80398406              0.46568402
700     0.54344307              1.10375276              0.62569832
800     0.71164773              1.43098592              0.80990415
900     0.89686099              1.83150183              1.02354145
1000    1.10195228              2.30296128              1.30000000

5）额外时间
The worst-case time for Sort(), in milliseconds, are
n       In-time selectSort      In-time bubbleSort      InsertSort
0       0.00000414              0.00000428              0.00000421
10      0.00002051              0.00001845              0.00001787
20      0.00005750              0.00003432              0.00006088
30      0.00008140              0.00005395              0.00008305
40      0.00010603              0.00010073              0.00010644
50      0.00012867              0.00012799              0.00013186
60      0.00015697              0.00014819              0.00015724
70      0.00017593              0.00017510              0.00017762
80      0.00020070              0.00018896              0.00020266
90      0.00022326              0.00021488              0.00022494
100     0.00024752              0.00023192              0.00024319
200     0.00048739              0.00045686              0.00047905
300     0.00076775              0.00069070              0.00071683
400     0.00097300              0.00092846              0.00094779
500     0.00121910              0.00112428              0.00118568
600     0.00143845              0.00142033              0.00143068
700     0.00168362              0.00164701              0.00166832
800     0.00191342              0.00191419              0.00229210
900     0.00291311              0.00229191              0.00230360
1000    0.00260155              0.00245170              0.00240591
