The average time for insertionSort(), in milliseconds, are
n       Repetitions     Total Ticks     Time per Sort
0       160299          11              0.00006862
10      27688           19              0.00068622
20      7252            11              0.00151682
30      6128            14              0.00228460
40      7610            23              0.00302234
50      4126            16              0.00387785
60      2987            15              0.00502176
70      2231            15              0.00672344
80      2016            16              0.00793651
90      1673            15              0.00896593
100     1410            15              0.01063830
200     411             16              0.03892944
300     211             15              0.07109005
400     124             15              0.12096774
500     91              16              0.17582418
600     48              15              0.31250000
700     39              16              0.41025641
800     27              16              0.59259259
900     24              15              0.62500000
1000    20              16              0.80000000
