The average time for bubbleSort(), in milliseconds, are
n       Time per Sort   Time per Sort(terminate in time)
0       0.00005849              0.00005172
10      0.00065099              0.00057317
20      0.00198821              0.00198160
30      0.00432660              0.00381534
40      0.00622849              0.00627864
50      0.00988035              0.00885656
60      0.01232548              0.01264063
70      0.01578274              0.01683759
80      0.01991311              0.02036622
90      0.02487562              0.02519066
100     0.03087432              0.02820769
200     0.09198312              0.10038986
300     0.19521179              0.20912548
400     0.35620915              0.35504886
500     0.52380952              0.51401869
600     0.74025974              0.74149660
700     0.98214286              0.96460177
800     1.31168831              1.26744186
900     1.61764706              1.57142857
1000    1.98181818              1.91525424
