The average time for selectSort(), in milliseconds, are
n       Time per Sort   Time per Sort(terminate in time)
0       0.00014934              0.00019484
10      0.00358776              0.00215908
20      0.30167598              0.00252407
30      0.01442424              0.04330879
40      0.00672981              0.00753636
50      0.02317328              0.00871545
60      0.01674481              0.01057568
70      0.01262799              0.01268553
80      0.01708481              0.01407910
90      0.01723048              0.01841929
100     0.02202457              0.02244094
200     0.08973323              0.06134969
300     0.14323607              0.14397906
400     0.24070022              0.22755741
500     0.39642857              0.37918216
600     0.55494505              0.53080569
700     0.71153846              0.67484663
800     0.98039216              0.82113821
900     1.07446809              1.03773585
1000    1.32926829              1.29069767
